"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2","cluster$cut"
"Bra000159",3.77201231043418,3.99481502542171,5.53921155383359,5.45253613381584,5.84173415906004,5.78670351460833,5.71514657712335,5.83203680011296,5.34098590057879,5.32500496540789,4.50716669340894,4.11405046359842,4.0186875799265,3.93057650357725,5.51777330567101,5.11969647347738,5.90524739231956,5.67920138612827,5.50671617937433,5.85434231128167,5.46058531325367,5.54254903615735,4.83880557451305,4.71632150417319,4.18602507451768,4.63026566867773,5.72606008443892,5.67860436419162,6.04278877476642,6.24258726342859,6.0854097839074,6.27741387743913,5.91130569322283,5.56958222968651,4.73543011048621,4.66263277495391,3.98271983583303,3.8644635117144,4.91983106824795,4.84617234705944,5.76011713257169,6.07676430031521,5.78578592512969,6.10649070574198,5.41082951912224,5.70306469824217,4.854299917984,5.70762417706108,1
"Bra000884",6.83907778302757,7.09156232732347,4.84628770347992,5.40562143048724,4.4981040371096,4.68698227887,4.90006495379882,4.82869758185178,5.91292046458382,6.28947116416817,7.9122726169249,8.4312510400835,7.4608572148343,7.24944534108584,6.197731744058,6.33987137598617,4.41121606337603,5.21728501017367,5.10728194963052,5.84552768597629,5.68822792532738,5.63077238940122,7.30811145776873,7.43797672831972,7.16847155579348,6.60734954955525,5.00833449365359,4.64647374794487,4.35069525046237,4.67680899434779,4.99896720176915,4.90175508973468,5.63434931387689,5.56898365335226,6.80546014109425,7.51113591805453,7.20421898587239,7.42793295446517,6.31333474751075,6.02792147367504,4.85002927361382,5.34088979340502,5.86920022912867,5.42162726461164,6.59991284218713,6.02021770578234,7.49743672804116,7.05699529660802,2
"Bra000915",6.86573327085176,6.65962491696446,6.64479363691398,6.62178522579322,6.55512439117063,6.30705505200281,6.63203986766968,6.44188513137099,6.8253149960855,6.74581547770636,6.98101921055577,6.82850464980917,6.51528825673255,6.5475577927881,6.25684649476452,6.06724503662748,6.18548996861613,6.06617101263232,6.21666632592357,6.09096772394631,6.59921214693832,6.52249992988022,6.94542042531509,6.76140496101631,7.29948279127467,6.92576211367192,6.74133214878799,6.61187909207436,6.60243609431376,6.33708842987353,6.5579323338321,6.51469512049081,6.84446097972447,6.75139676947837,7.06984177275282,6.83342143550294,6.83157327060919,6.7561426350445,6.58127440986045,6.42119468071994,6.44714605855091,6.33033430598713,6.32906796891781,6.29218909204991,6.69810732640488,6.60448503070734,6.99107961636635,6.92865456990017,3
"Bra001004",7.52822748142208,7.62340599885012,6.12669827879036,6.31824271600133,5.69822959293538,5.78809577619535,5.83875515989213,5.90858236547881,6.53764396192989,6.85729679647068,6.89200236884185,6.97239397602647,7.60810694046781,7.65123829637917,6.36336033956393,6.46952135022641,5.76934595446399,5.85890352745285,5.89160874685368,6.02802980876237,6.29688684808053,6.44442854133194,6.91172752897535,7.03283919765185,7.10656817470311,7.5119423655728,6.31304627000719,6.46477117296594,5.60373018562216,5.8062776511563,5.71075409631895,5.91714767595075,6.36676632108425,6.30432485204521,6.8646690261215,7.03841423201492,7.56346323668308,7.78442545965474,6.15821582793648,6.62288936468341,5.60527504460889,5.76997533103839,5.68182029270903,5.91001545271261,6.17164318948221,6.42762125664283,6.90054080658084,7.02940871196187,4
"Bra001020",4.82460494260015,4.7854877790158,5.47739562486552,5.4062305208019,5.7895597273568,5.8881465680823,5.75699656920754,5.85751079892295,4.81388890842536,4.84228999412374,4.20332646640449,4.25794595398279,4.54198558377447,4.77573536925904,5.47425107049211,5.44915855226016,5.78564470570358,5.83904754017326,5.68463081596837,5.66679067089271,5.2053768722388,4.93323269624094,4.47433869212426,4.40246979226843,4.63383803716705,4.59825799976058,5.23959661997403,5.39765238810898,5.51381601012121,5.71323390255378,5.56588958440319,5.77190142061405,5.08110950060353,5.30945634469311,4.49612995198881,4.637940570038,4.47992250593953,4.76032741449658,5.3986342566972,5.54791555739957,5.66320227857954,5.87835996285511,5.55239244238019,5.73534616209708,4.95138730296679,5.18333564688072,4.16265315540556,4.30684550031428,5
"Bra001046",9.42506480587023,9.39362427308242,7.00094645809798,7.2075903067558,6.49080435684512,6.26647361056186,6.70319762188286,6.72089405160597,6.95590558912745,7.31020377076176,7.84432287772981,8.00310183873898,9.27053127834878,9.35592145391972,7.04285223509354,7.12731342486174,6.92719721229731,6.8116765280077,7.14085021626201,7.05197020018814,7.20159465696739,7.08110523864902,8.18685706717715,8.16559041117842,9.13945158812216,9.39603101388086,7.01661888671637,7.13246374213187,6.36989915747906,6.34431011284321,6.83687091096283,6.91294919785279,7.2000158027694,7.30068202006762,8.05122525782578,8.08263340744722,9.27766168501827,9.29006954778436,7.09632511297178,7.16717725837635,6.71145360753681,6.60365008064765,6.81104709951529,6.91111630637822,7.11907599472748,7.08996417182337,8.217439155083,8.15020931746185,4
"Bra001104",5.87246434684935,5.93471463445404,6.84459906850059,6.61251026646419,7.0801886259547,7.44256204328737,7.05236154860005,7.27319882001641,7.08664578994451,7.06035007569336,6.23749488580539,6.27218746175222,5.94817096498254,6.10041004240317,6.66987716048909,6.56478817471762,7.03976351406125,6.88944920536496,6.85192390294477,7.11276267597636,7.25985622723217,7.24539107732938,6.25451279089345,6.41805667131721,6.8369971089196,6.59082055675118,7.03416067983991,7.1635691746569,7.39958128053752,7.6437984808189,7.59648050259004,7.65912537622816,7.46125023497295,7.31463308917817,6.72538670942285,6.42028027320536,6.02976648105848,6.114375354576,6.75886278990726,6.50750448663559,7.05237241787404,7.24680709154705,7.23382096900116,7.20622318418939,7.17700087143214,7.44550325103498,6.65280196033473,7.1652386581251,1
"Bra001169",5.63853727921519,5.73932967601558,4.69271173626885,4.84175679906054,4.07298041577945,4.27908494040342,4.48364812474766,4.51816371679703,4.54868321815718,4.84503835396662,5.68106408291673,5.85277542542454,5.88803938293418,5.93322561326369,4.83419038452621,4.98278827541784,4.61790966482029,4.78747948089794,5.03476595487748,4.85268305579433,4.72695652120531,4.72567572667375,5.54842121120515,5.6421932470486,5.32949678255874,5.70644214262643,4.51964883214568,4.69549279034366,4.09301077928916,4.00320643063325,4.5490776800458,4.47721750856915,4.54360723637848,4.84881820741059,5.33702597040539,5.39278793942629,5.61718973583881,5.84375777732314,4.84995423707369,4.64110668005219,4.45834262875403,4.51929027903653,4.7041249772765,4.80253962899702,5.03605489447708,5.02138200460915,5.56715296076616,5.42578153870353,2
"Bra001306",5.62022862463719,5.75009461099911,6.86507749193107,6.75803661854406,7.06154940883517,7.28347734193776,6.75846308864756,7.01789964401311,6.3040363930013,6.32862646273027,5.32491858553504,5.44393811501318,5.49325343368224,5.64802244233135,6.78280168769857,6.51115806184811,7.05349151472465,6.88421937144672,6.32923125608348,6.77319196717357,6.46871200696285,6.62526172094221,5.4165965705707,5.3041751526519,6.12392687100802,5.67081768031673,6.90046835182026,7.13790307854848,7.32589006103978,7.4687054912916,7.13992988228543,7.17244751121102,6.74469931420784,6.82698059553688,5.66052650688434,5.86870157933809,5.28413653125145,5.36754929457862,6.55189740470715,6.63673771180263,6.93694411117372,7.13608882527131,6.8732103093003,6.9790878839556,6.49176332584535,6.58186640341096,5.56597485906734,6.25695213958064,1
"Bra002665",7.51743318407169,7.59981616350697,7.73426929398646,7.75986155884623,7.85907503850493,8.13038007845021,7.74896431737671,7.85584646684785,7.53627830373116,7.558795688709,7.24303113530799,7.29687950828749,6.96912746057068,7.2645270481964,7.29178771384206,7.18912280365924,7.3594245330484,7.50147099238001,7.04183434495134,7.23164360526302,7.46169225468834,7.60832875704895,7.20427768490503,7.29853002142932,7.88190928904719,7.66014568240818,7.77809684732828,7.9942006728257,7.78811796836062,7.79105215827549,7.70995916113423,7.83778559614527,7.57856138994729,7.6750537430551,7.47269083924278,7.24554319917302,7.37724524143061,7.46385946464551,7.6836824202398,7.5454278748237,7.51729931793494,7.52105859127332,7.31420708628557,7.37225564844579,7.4297080125729,7.60484229507773,7.44412867206913,7.66725349770251,6
"Bra002799,tRNA-Ser",3.70583417777637,3.70924651593434,4.70838039189783,4.71803276927783,4.59397517932056,4.62365619989018,4.39371135435985,4.41935685775859,4.14917805713085,4.11783631349298,3.80596308066532,3.69291813080855,4.02403593545551,3.98795747610041,4.7035658671696,4.78185801301928,4.74748407739153,4.73100397992225,4.52835877448283,4.59085348416184,4.36521659887015,4.3465527363753,3.75826053106734,3.73495885305097,4.05713830439354,3.72305609720844,4.9026476480567,4.65594138110988,4.79434827905334,4.88700366169719,4.79147028337068,4.685273013996,4.51715598865506,4.28871291663483,3.77191726253877,3.68295526882859,3.85458417862117,3.50406100130929,4.74043111012498,4.47138908536964,4.90920186428509,4.61179796318976,4.62617043162732,4.57038399353181,4.51689764498078,4.36453741500096,3.90972510949632,4.06030683786377,5
"Bra002892",6.96517245224711,6.97882484070008,5.90896418107934,5.86552295913996,4.29183190773921,4.47097279637259,4.41818994794577,4.57907754317464,5.0199198143149,5.0149443921958,5.82108770170005,5.86927180331908,7.11769504266975,7.02980622770421,6.12502491085011,5.89156257427457,4.9108285825865,4.75008120819702,4.7371621479756,4.22853397058119,5.00429913108908,4.86631950752546,5.94227286300731,5.80815591065674,6.97065812278954,6.74594989696712,5.88605501995517,5.90088853878841,4.57069971759752,4.83303174566276,4.48563291174182,4.17503749951307,4.84092139932607,5.12246565817924,5.93275805986262,6.15096984404907,7.00067610485072,7.08876704193984,6.3143285552494,6.20593592378219,4.60969587286274,4.62654426853764,4.54485627488998,4.51428009563292,4.71051993215696,5.06428361562505,6.06675870397481,5.71405039714262,4
"Bra002973,Bra002974",7.950340096304,7.81566508219623,7.92697196069114,7.91191923173247,7.79170339085276,8.11323166377448,7.95071335289587,7.97750890454014,8.09893743221286,8.1198489583368,7.86278611328787,8.02587041645545,7.39678457173436,7.64660190935928,7.23271830996572,7.16253231824146,7.26554003845611,7.26294987044459,6.94396819697603,7.18890528908969,7.72889326514201,7.98133894414432,7.86218479791422,7.81821786297042,8.19306204671554,8.15261441863992,8.13381009110603,8.33727400776806,8.0765270291849,8.15596674561818,8.00514731432199,8.31172107266988,8.17585390036435,8.50558530889763,8.1312756508554,8.2213696131546,7.95377158360755,8.07902070006606,7.75192560314388,7.95349806319688,7.68660557396852,7.85741499942408,7.49572713689388,7.53449743373817,7.90406254778525,8.17405181363078,8.15079827827842,8.31752115100171,7
"Bra003236",10.4229267607435,10.1404719278044,6.93657905228892,6.66567700672279,3.83676237189031,3.48489860104548,4.96343250717154,4.82782410452049,5.33654761968806,5.49165751774573,7.74909173757196,7.68045798562874,10.4560668742766,10.127091548383,7.49222173796014,7.32004234258992,5.00062653459275,3.96914127831957,5.44625292095219,5.00460475920452,6.0072650326053,5.3386098209172,8.1205748556934,7.7806578684286,10.5159658845586,9.61901860733045,7.52030437646944,7.20545116429533,4.66506298748081,4.52818996692431,4.80847257767866,4.23669159707838,5.63015789476885,5.61570466619319,7.76539550896466,7.93543617416431,10.044612692958,10.0123731276985,8.06424157354374,7.69739853217172,4.60647183979489,4.0447438212244,4.95138264003415,4.41188718365751,5.78078252006191,5.33977163213651,8.17841089441228,7.02481831226328,4
"Bra003237",5.94942287468142,6.28752031520152,7.27893259883994,7.3134454059617,7.31845242660278,7.70577060301978,7.31763872379447,7.4807336633034,6.38038660148779,6.76422140234238,5.79708822435615,5.91370324156275,6.07832376062103,6.10665192025214,7.17542479858969,7.158023908329,7.37518716965982,7.31388070110073,6.74426875536233,7.30358898482635,6.76965274373208,6.96706482938065,5.59988012089761,5.84918363612619,6.44430429367503,6.29950110760658,7.22402097433711,7.4943436018604,7.31610047630208,7.78787644702768,7.36553507498419,7.71659999726424,6.71280210079645,7.14725581275871,5.89928924307612,6.15902161160787,5.92208602568069,5.95557551891764,6.98655883804526,7.00771129827345,7.20919014725287,7.41315400413905,7.11705083857739,7.21896517327388,6.61975192781828,6.93551868022256,5.8279714139322,6.71627759887891,1
"Bra003427,Bra003428",4.95539650560247,4.84473714406068,5.32644027358696,5.15286890146009,5.46180683028884,5.40845033186906,5.26718744179142,5.17705670066002,5.02362352084289,4.96078969496992,4.70993022108854,4.58112825701866,4.97426314190005,4.83338095314641,5.31246188094915,5.11822681379295,5.51011060463027,5.26848679437487,5.10955697322608,5.14314440332231,5.48688488667621,5.26321097489013,4.84884824613899,4.87371478469959,5.48650522500409,5.18740354407795,5.60691594182521,5.52100989347541,5.70905623388692,5.58318809732443,5.58418985088808,5.42496574452299,5.46664017014115,5.37499076129568,4.98535469617264,5.06477509368866,5.02180394201819,5.08428116312667,5.32006220545604,5.42202102198653,5.47781330228769,5.42632179035534,5.55166673908727,5.26893212433408,5.51670543247946,5.425180648648,5.17149107824333,5.21091092084074,1
"Bra003512",4.2623504664045,4.17550064911948,5.75066009578082,5.4131844754217,6.0798474120484,6.0296494429089,5.82242934270962,5.83165433569362,5.5397078615045,5.29525649730914,4.40380624614773,4.36416617941111,4.03738222200308,4.07616570359357,5.71595101132126,5.31814327359646,6.08089638745338,5.48512408707398,5.41175162896452,5.63818971164694,5.57319878423954,5.57220452870176,4.52164126643428,4.47802695096189,4.01474805251594,4.03057444769903,5.63883843672403,5.58216757915192,6.22137831410866,6.32780051933446,6.1044855349062,6.11908014597367,5.75618534375912,5.38712124425133,4.62206353672892,4.41739347923294,4.15084396346487,3.93429946769535,5.18557718459704,5.08477012798105,6.05595264486706,6.00552125526754,5.85497307612105,5.92845323414459,5.34230583635633,5.42177872247431,4.49805934662471,5.0662829722991,1
"Bra003776",9.05594397100648,8.78715490604739,8.8023483371012,8.58774001889378,8.68895312386305,8.65873275855657,8.70023162211829,8.48685915005883,9.01098678621011,8.94160520367412,8.97812697187534,8.76451335990924,8.60437902031626,8.6156443488884,8.28251393953742,7.98787791518977,8.37012939871038,8.06814948056603,8.14660940409514,7.97249162755333,8.77648896252522,8.66819714750114,8.96328048003467,8.6922318943137,9.13715510361662,9.12744498665731,8.83547568810926,8.99664013404203,8.848068914276,8.7860800878769,8.81497332643614,8.99857632708558,9.04356323754294,9.19070621088471,9.19209057637622,8.99114766053009,9.05353495729083,8.96060148191618,8.7764165820084,8.74920908832271,8.56592080160617,8.75490419992611,8.54795487525393,8.76762500659493,8.82985907125216,8.88601049894686,9.01206299357526,9.16844899078547,7
"Bra004087,snoR74",4.59643428527711,4.60622308293127,5.91176107879674,5.73524325095573,5.70677917637176,6.24154467532735,5.54598380882405,5.69345907906493,5.04865034292242,5.16585969555097,4.1926676198763,4.3053504227309,4.49782310248988,4.68837061613961,5.64245032003514,5.61932203224878,5.90422877368286,5.75806594239965,5.22524021961624,5.77064407327233,5.24604698824269,5.4319404781269,4.16071047889359,4.39535076123204,5.02991662930829,5.08146319894421,6.0241024429017,6.30250549973937,6.21617351606003,6.83842237920264,6.16839934652547,6.75714328825291,5.54595910519472,5.98134807834857,4.54493044118034,5.07119632437083,4.34163000932991,4.59602870212736,5.6530829532504,6.14488253133923,6.09839218524451,6.60268698940862,5.85282535249212,6.1838001097309,5.27986126090461,6.15745001742032,4.87607486163387,5.70118861538851,1
"Bra004159",6.61586795160791,6.49741277580565,5.50238470813102,5.57511261495029,4.20172010666478,3.91842440047698,4.25230211136417,4.03064506808518,5.18645301638313,5.16144029695591,6.10434714447897,5.84732299055711,6.6009372380846,6.48052526201968,5.25352795350394,5.12496496414228,4.08454054773129,4.12868108145835,4.4867079381589,4.02222575606151,5.30527380385938,5.2553118863596,6.46920711189453,6.1768413474468,6.56006223185875,6.48075789405717,5.36744096197086,5.34807303966605,3.87592746988103,3.63227985009003,4.25519856641969,3.84793679300921,5.16984484949135,5.21131207462246,6.14735351233502,6.09848903952506,6.71421803749887,6.60457101942843,5.44472337961064,5.52254543890839,4.03549194988116,3.79659775404831,4.0405154926683,4.0603241331511,5.29421637004736,5.20306408594419,6.24002232578836,5.84157818495725,4
"Bra004210",4.86346771419433,5.10222559391903,4.37611670485551,4.38026537345033,3.98512695711545,4.21549222999098,4.03860298801655,4.26066554054074,4.25601427138669,4.67255546153851,4.54902837820757,4.60271222496163,4.59726895055261,4.86165766595468,4.04048919099426,3.95900038890982,3.76758064900966,3.78245050312714,3.64091008584255,3.97562101580265,4.00944571363704,4.37856711045748,4.27073823010708,4.49857001254426,5.61861748952574,5.22839543787047,4.20991339501958,4.14627234234872,3.96941760550904,3.62560949456759,4.0877258969505,4.14991779445571,4.2714182056146,4.00628904630529,4.44753952519572,4.39760447498245,4.86716999285868,4.74868663649498,4.17075030749788,3.78322614000566,3.92684390725726,3.67340943346517,3.7546523771461,4.01260442758395,4.22257274694644,4.1901328278968,4.58695084681634,4.82029641599127,3
"Bra004225",6.47261773813468,6.74397267160055,7.81202965842252,7.71712802619924,8.119988981257,8.36683362456111,7.868822554775,7.98476591704573,7.5264679396504,7.60923784863564,6.58112373659163,6.54545876566671,6.41762639057455,6.47686768893309,7.84866675262866,7.62780379457813,7.99682370404913,7.87936269338524,7.41529389299594,7.88286921687253,7.7584497633649,7.80707150769546,6.41178212988094,6.68820833921242,7.16855178407485,7.17060611329509,8.02556593887528,8.52869633035568,8.5320324759653,9.14008331205854,8.33538142157004,8.91446287114086,8.04033356294389,8.35521893510061,6.84665628065244,7.41476133200026,6.51711818515321,6.85428246155817,7.82908844400489,8.11556391523799,8.17766868660239,8.66105478785744,8.01578299724093,8.45185399836077,7.84580991742608,8.31841627177727,6.83771622655949,8.02472413921832,1
"Bra004244",6.99076203449486,6.71715545099401,6.88177472583234,6.59784101349143,6.57705866507039,6.28595144818502,6.56156442726312,6.34646054527126,6.57676095492641,6.28680538952774,6.81851826930831,6.56392534980529,6.70636477950913,6.55939085772977,6.44915029652761,6.04390002100157,6.30872673077719,5.99906419899739,6.18333564688072,5.85599966063762,6.37882197738428,6.34851040590974,6.71141230724125,6.35759598855251,7.26216063452344,6.85186145483176,6.83940537331974,6.80776706176642,6.68229237143083,6.46964018937395,6.57656143963901,6.71291212625268,6.77382494216579,6.75068689050694,6.90929308582382,6.83373766481582,7.04873751877881,6.91648858722803,6.79392188619053,6.75262818342112,6.55488963758404,6.57234097627313,6.39170071060328,6.30692385798668,6.54807898929336,6.58407256435402,6.91143992706909,6.681758461436,8
"Bra004247,Bra004248",9.5465549622885,9.48630610399836,9.11297373935233,9.14738811268178,8.85267306953411,8.7140840641872,9.00003099506831,8.95684657193534,9.09895321814813,9.04218740433099,9.06959476811137,9.05290491201035,9.44569153259545,9.4269544832154,9.33908615194169,9.30919892954101,9.23588498954399,9.14733214111804,9.26103240514307,9.09210170199912,9.20502344382046,9.02972894155423,9.1591321445618,9.04259509409476,9.57150996216678,9.39531134129772,9.19804962743727,9.15669239458346,8.83906203162006,8.68161441239709,8.86039486693595,8.89518142210268,8.99818139663246,8.9439828436708,9.16238377535995,9.13292380035925,9.4022851654529,9.35415900402401,9.46675353791469,9.3020036782975,9.03600872369784,8.81770638913901,8.95493782792728,8.82548037055194,9.07455360246132,8.99602147234607,9.18620587562965,8.78668456745091,4
